variable_name,data_type,description
lac,FLOAT,"Min: 0.0, Max: 1.0, Mean: 0.08424908424908434,"
ehcp,FLOAT,"Min: 0.0, Max: 1.0, Mean: 0.27325581395348914,"
trust,STRING,"3 unique Values: BDCT, BTHFT, Airedale"
department,STRING,"3 unique Values: CAMHS, CDC, Psychology"
gender_assigned_at_birth,STRING,"11 unique Values: Male, Female, M, F, Male ,  Male, male, Transgender, Female but identifies as male, female, Indeterminate"
ethnicity,STRING,"163 unique Values - Examples: British, Pakistani or British Pakistani, A, White British, Other White"
digest,STRING,"6055 unique Values - Examples: 26F6B1C402ED779F5D6A6B324F7394D400ABF4EA4980072524DBB9234CE22311, C488CD3CF0A938194F0B577B1AD85A5A06C8EF6810ED0CAE9CFC850CAAB9B5A7, DBDF299B99DE18F25C4B060A3CBAFEB8A32C14A19594012201A943D8278E42B6, 48A779C13DADF3CDE352D6761F914474DB1A8A340EDC200776105F5CC358C66C, 99A2882420B8D72A338456B6CE24A16AF67F9DADCF5F7A4D3CFF4EB21E42FF8B"
gp,STRING,"831 unique Values - Examples: Bingley medical, Kensington Partnership Group, Parklands Medical Centre, Shipley Medical Practice, Parklands medical"
ccg,STRING,"32 unique Values - Examples: Bradford, Bradford District, Bradford & District CCG, District, Craven"
referral_source,STRING,"205 unique Values - Examples: School, SN, HV, GP, SALT"
diagnosis,STRING,"29 unique Values - Examples: ASD, Disch-Moved out of area, Disch-Diagnosis agreed, No Diagnosis given, ASD and ADHD"
outsourced_yn,STRING,"58 unique Values - Examples: Yes - Clinical Partners, No, Yes - Healios, Socrates, CAMHS now undertaking assesssment"
gender,STRING,"4 unique Values: M, F, Transgender, Indeterminate"
first_contact_autism_assessment_notes,STRING,"3 unique Values: DNA, 26/08/2020 + 25/11/2020, 30/08/2019+07/05/2021"
school_info_notes,STRING,"14 unique Values: re-requested, Outstanding, SEE NOTES AND REFERRAL DATE, Home schooled, Not applicable, Transfer of Care, Not in school, not in school - needs home obs, Requested, Needed, Not in education, In Progress, In progress, Not at school"
school_obs_notes,STRING,"16 unique Values: 10/11/2020+ 01/06/2021, YES, 29/01/2020+24/03/2021, 19/12/2018 and 30/01/2020, 22/05/2019+22/03/2021, 17/10/2019 + 21/11/2019, Add to school obs, Add to school obs list, Add school obs list, Yes, 04/02/2020+17/02/2022, 23/10/2019 + 09/12/2019, 23/05/2019+20/04/2021, 44305, Home Obs 11/04/22, 03/12/2019+30/11/2020"
ados_notes,STRING,"11 unique Values: 25/06/2021+10/11/2021, School, Completed by Helios, i, 06/09/2019+07/02/2020, Needed, 29/11/2019+13/04/2021, failed to attend, 30/08/2019+07/05/2021, 27/108/2021, Healios"
salt_notes,STRING,"42 unique Values - Examples: 2018, 24/02/2020 + 22/12/2020, 12/07/2019+17/12/2019, x, 2020"
qb_notes,STRING,"5 unique Values: 09/02/2022 - 4pm, Privately completed, 21/04/202, declined, Could not complete - 08/06/2021"
cognitive_assessment_date_notes,STRING,"3 unique Values: TBC, Pending, No"
mdt_notes,STRING,"108 unique Values - Examples: Healios, Clinical Partners, Clinical partners, None, given by Helios"
feedback_given_notes,STRING,"91 unique Values - Examples: Clinical Partners, UTC, 07/10/2019+20/01/2021+24/09/2021, 30/06/2021+21/12/2022, 01/03/2022 + 26/07/2022"
jac_report_circulated_notes,STRING,"26 unique Values - Examples: None, UTC, Closed without decision - interim report sent 03/11/2022, 24/08/22 & 25/07/22, Not needed"
date_closed_notes,STRING,"7 unique Values: UTC, 20/21/21, stave, 20/20/2021, 09/05/2022/06/07/22, 20/04/2022/17/05/22, 22/02/2021/21/06/22"
asd_assessment,BOOLEAN,"2 unique Values: False, True"
adhd_assessment,BOOLEAN,"2 unique Values: True, False"
asd_diagnosis,BOOLEAN,"2 unique Values: False, True"
adhd_diagnosis,BOOLEAN,"2 unique Values: False, True"
person_id,INTEGER,"Min: 51, Max: 14994120, Mean: 12189029.05574644,"
fdm_start_date,DATETIME,"Min: 2015-02-27 00:00:00, Max: 2022-12-10 00:00:00"
referral_date,TIMESTAMP,"1259 unique Values - Examples: 2022-08-19T00:00:00.000000000, 2021-05-24T00:00:00.000000000, 2019-08-02T00:00:00.000000000, 2021-07-16T00:00:00.000000000, 2022-05-27T00:00:00.000000000"
breach_date_13_weeks_to_first_contact,TIMESTAMP,"1259 unique Values - Examples: 2022-11-18T00:00:00.000000000, 2021-08-23T00:00:00.000000000, 2019-11-01T00:00:00.000000000, 2021-10-15T00:00:00.000000000, 2022-08-26T00:00:00.000000000"
dob,TIMESTAMP,"235 unique Values - Examples: 2013-07-15T00:00:00.000000000, 2012-11-15T00:00:00.000000000, 2015-07-15T00:00:00.000000000, 2012-03-15T00:00:00.000000000, 2014-04-15T00:00:00.000000000"
first_contact_autism_assessment,TIMESTAMP,"718 unique Values - Examples: 2021-03-31T00:00:00.000000000, 2019-01-31T00:00:00.000000000, 2019-07-01T00:00:00.000000000, 2022-03-17T00:00:00.000000000, 2021-01-11T00:00:00.000000000"
school_info,TIMESTAMP,"496 unique Values - Examples: 2022-08-15T00:00:00.000000000, 2020-12-20T00:00:00.000000000, 2021-03-16T00:00:00.000000000, 2022-05-15T00:00:00.000000000, 2021-01-19T00:00:00.000000000"
school_obs,TIMESTAMP,"522 unique Values - Examples: 2018-11-23T00:00:00.000000000, 2020-03-27T00:00:00.000000000, 2018-01-18T00:00:00.000000000, 2018-12-13T00:00:00.000000000, 2018-07-19T00:00:00.000000000"
ados,TIMESTAMP,"616 unique Values - Examples: 2021-03-31T00:00:00.000000000, 2021-03-12T00:00:00.000000000, 2019-06-21T00:00:00.000000000, 2022-04-20T00:00:00.000000000, 2020-01-31T00:00:00.000000000"
